team_id,gw,points,bench,gw_rank,transfers,hits,total_points,overall_ank,team_value,chip
3282549,1,61,2,3248597,0,0,61,3248595,100.0,
3282549,2,62,6,3389922,0,0,123,2794744,100.0,
3282549,3,51,2,3614470,0,0,174,2559706,99.8,
3282549,4,89,0,424939,0,0,263,641469,99.6,
3282549,5,74,0,2631541,2,0,337,698260,99.9,
3282549,6,76,6,52063,0,0,413,57856,99.8,
3282549,7,0,0,1,0,0,413,56816,100.0,
3282549,8,50,0,4999857,0,0,463,124159,100.0,
3282549,9,71,7,5569375,2,0,534,310507,99.8,
3282549,10,56,5,6120580,0,0,590,559195,99.7,
3282549,11,53,13,2636148,2,0,643,444709,99.7,
3282549,12,36,0,6411681,0,0,679,671043,100.2,
3282549,13,59,19,2780343,0,0,738,625235,100.2,
3282549,14,62,1,4541722,0,0,800,713065,100.6,
3282549,15,55,4,4918306,2,0,855,779937,100.6,
3282549,16,47,3,3756650,0,0,902,764110,100.7,
3282549,17,94,3,807158,5,0,996,587148,100.5,
3282549,18,61,4,1279092,0,0,1057,483337,100.6,
3282549,19,64,9,1414143,0,0,1121,382462,100.8,
3282549,20,100,13,33300,0,0,1221,127519,101.0,
3282549,21,89,4,285428,0,0,1310,79720,101.3,
3282549,22,106,7,117064,2,0,1416,29326,101.6,3xc
3282549,23,64,3,6487758,1,0,1480,60014,102.0,
3282549,24,56,8,1784753,0,0,1536,56880,102.1,
3282549,25,69,6,6984526,0,0,1605,111386,101.8,
317429,1,71,6,1227564,0,0,71,1227564,100.0,
317429,2,66,8,2471127,0,0,137,1049464,100.2,
317429,3,58,11,1791416,2,0,195,562269,100.5,
317429,4,71,6,2604685,0,0,266,516284,100.7,
317429,5,69,14,3801778,2,0,335,800867,101.1,
317429,6,45,4,4776360,1,0,380,853218,101.3,
317429,7,0,0,1,0,0,380,834348,101.3,
317429,8,60,0,2387054,2,0,440,635393,101.4,
317429,9,79,13,3110067,0,0,519,691606,101.5,
317429,10,71,11,1939287,2,0,590,573297,101.5,
317429,11,55,17,1980764,1,0,645,416157,101.8,
317429,12,49,0,2581355,1,0,694,377589,102.1,
317429,13,52,18,5356880,0,0,746,467769,101.7,wildcard
317429,14,64,11,3960386,0,0,810,503738,102.5,
317429,15,65,5,1812567,2,0,875,390068,102.3,
317429,16,50,13,2977401,1,0,925,345390,102.3,
317429,17,91,7,1303694,30,0,1016,299139,102.0,
317429,18,56,6,2638105,0,0,1072,290032,102.2,
317429,19,60,5,2335115,2,0,1132,266101,102.2,
317429,20,67,15,3497883,1,0,1199,310076,102.3,
317429,21,75,5,3409044,1,0,1274,337857,102.4,
317429,22,69,4,2472777,1,0,1343,445018,102.5,
317429,23,85,12,1365709,1,0,1428,376835,102.3,
317429,24,50,4,3740188,1,0,1478,410876,102.1,
317429,25,108,0,469580,3,8,1578,272692,101.7,
31191,1,68,11,1725839,0,0,68,1725838,100.0,
31191,2,63,3,3161986,0,0,131,1702399,100.2,
31191,3,40,8,7490325,1,0,171,2967261,100.6,
31191,4,81,5,1049519,0,0,252,1330116,101.0,wildcard
31191,5,79,6,1540205,1,0,331,975139,101.2,
31191,6,47,6,4030698,1,0,378,931780,101.4,
31191,7,0,0,1,0,0,378,916812,101.4,
31191,8,54,10,4089967,4,8,424,1338150,101.5,
31191,9,88,0,1348072,1,0,512,940933,101.9,
31191,10,72,2,1507439,0,0,584,728872,102.1,
31191,11,58,11,1339361,2,0,642,476090,102.3,
31191,12,56,0,1047706,2,4,694,380122,102.7,
31191,13,47,16,7385223,1,0,741,574069,102.9,
31191,14,59,4,5629868,1,0,800,729767,103.6,
31191,15,50,7,6679029,2,4,846,1032332,103.6,
31191,16,40,1,6520737,1,0,886,1204429,103.3,
31191,17,87,2,1994735,6,0,973,1111412,103.0,
31191,18,58,14,2028246,0,0,1031,1022462,102.9,wildcard
31191,19,61,8,1953706,0,0,1092,896146,103.3,
31191,20,72,5,2054469,0,0,1164,837907,103.8,
31191,21,80,15,1852913,2,0,1244,771854,103.8,
31191,22,100,4,219974,1,0,1344,427545,103.6,3xc
31191,23,78,5,2785209,1,0,1422,434354,103.6,
31191,24,59,2,1184615,0,0,1481,374499,103.7,
31191,25,80,2,4699943,4,8,1553,505693,103.2,
662876,1,71,3,1227564,0,0,71,1227564,100.0,
662876,2,72,11,1430793,1,0,143,602211,100.2,
662876,3,41,10,7089843,0,0,184,1424137,100.7,
662876,4,56,15,6439880,3,4,236,2839527,101.4,
662876,5,77,7,1937686,1,0,313,2116936,101.7,
662876,6,63,11,579300,1,0,376,1065820,101.7,
662876,7,0,0,6582907,1,0,376,1052328,102.1,
662876,8,57,0,3137791,1,0,433,914552,102.2,
662876,9,79,9,3110067,0,0,512,940933,102.7,
662876,10,70,10,2149202,1,0,582,794200,103.1,
662876,11,44,23,6140206,1,0,626,891730,103.3,
662876,12,48,0,2891914,2,0,674,814795,103.6,
662876,13,50,26,6371155,1,0,724,1006962,103.7,
662876,14,80,4,764772,1,0,804,637322,104.3,
662876,15,54,8,5021493,0,0,858,721397,104.4,
662876,16,47,13,4036791,2,0,905,710759,104.4,
662876,17,86,3,2154615,2,0,991,688036,104.4,
662876,18,61,4,1279092,0,0,1052,571858,104.6,
662876,19,51,4,4824938,2,0,1103,671199,104.4,
662876,20,59,17,5946968,2,4,1158,960091,104.2,
662876,21,66,3,6213976,0,0,1224,1179757,104.4,
662876,22,76,17,1671177,0,0,1300,1075111,103.2,wildcard
662876,23,77,12,2904944,0,0,1377,1088406,103.6,
662876,24,58,8,1367452,0,0,1435,982383,104.0,
662876,25,63,0,8153377,0,0,1498,1320210,103.6,
576377,1,67,5,1941176,0,0,67,1941175,100.0,
576377,2,66,17,2471127,0,0,133,1466756,100.0,
576377,3,46,6,5388269,0,0,179,1949735,100.1,
576377,4,73,16,2220914,0,0,252,1321294,100.1,
576377,5,93,4,94958,0,0,345,407737,100.1,
576377,6,44,20,4993993,0,0,389,475889,100.2,
576377,7,0,0,1,0,0,389,468688,100.3,
576377,8,58,0,2684681,0,0,447,404566,100.3,
576377,9,54,7,8148795,0,0,501,1375815,100.0,
576377,10,60,3,5169908,2,0,561,1553171,99.9,
576377,11,50,11,3405467,0,0,611,1403704,99.8,
576377,12,52,0,1700379,0,0,663,1119675,100.0,
576377,13,63,29,1671688,0,0,726,928170,100.0,
576377,14,64,6,3960386,0,0,790,972026,100.1,
576377,15,48,14,7085969,0,0,838,1244995,100.2,
576377,16,26,15,10049039,0,0,864,1899331,100.0,
576377,17,85,6,2436544,6,0,949,1795413,99.9,
576377,18,57,3,2320229,0,0,1006,1694069,100.0,
576377,19,51,5,4560324,0,0,1057,1789710,100.1,
576377,20,58,11,6226662,2,0,1115,2052671,99.9,
576377,21,77,3,2559485,0,0,1192,1980487,99.8,
576377,22,33,6,7647651,3,4,1221,2823541,99.3,
576377,23,68,15,5283538,0,0,1289,2977178,99.3,
576377,24,48,6,4189687,0,0,1337,2973878,99.2,
576377,25,86,2,3333634,2,0,1423,2817501,99.0,
36873,1,57,2,4137263,0,0,57,4137259,100.0,
36873,2,69,14,1952537,1,0,126,2437708,100.2,
36873,3,41,3,7209476,1,0,167,3506822,100.5,
36873,4,54,5,6688551,0,0,221,4323096,100.9,wildcard
36873,5,53,9,7240933,1,0,274,4974968,101.0,
36873,6,57,7,1373078,1,0,331,4100831,100.8,
36873,7,0,0,8480729,2,4,327,4346132,100.8,
36873,8,39,0,8381322,1,0,366,5057024,100.8,
36873,9,85,13,1869442,2,4,447,4373397,100.9,
36873,10,67,13,3024876,1,0,514,3929422,101.4,
36873,11,50,18,3613478,1,0,564,3690650,101.8,
36873,12,49,10,2661755,3,8,605,3635936,101.9,
36873,13,44,21,8206689,1,0,649,4089857,102.1,
36873,14,63,7,4417742,1,0,712,4017605,102.7,
36873,15,58,17,3767658,1,0,770,3862299,102.5,
36873,16,58,13,1154085,1,0,828,3303240,102.7,
36873,17,83,17,2939243,6,0,911,3134152,102.3,
36873,18,55,4,2973466,0,0,966,3035685,102.6,
36873,19,42,13,7816704,2,0,1008,3370503,102.6,
36873,20,61,8,5366825,2,4,1065,3582353,102.6,
36873,21,70,3,5198880,1,0,1135,3628135,102.5,
36873,22,78,11,1570462,10,36,1177,3906056,102.1,
36873,23,66,31,5970010,1,0,1243,4031296,102.6,
36873,24,59,12,1184615,0,0,1302,3744120,103.1,
36873,25,100,0,1102997,3,4,1398,3356369,102.7,3xc
5705773,1,56,0,4367861,0,0,56,4367857,100.0,
5705773,2,60,7,4079741,4,12,104,5525800,100.1,3xc
5705773,3,48,2,4813739,1,0,152,5325447,100.4,
5705773,4,71,9,2604685,0,0,223,4184721,100.7,
5705773,5,72,-1,2929259,0,0,295,3451453,100.5,wildcard
5705773,6,41,13,6208358,0,0,336,3754965,100.8,
5705773,7,0,0,9565334,3,4,332,4015780,100.6,
5705773,8,45,0,6515986,0,0,377,4374364,100.8,
5705773,9,68,0,6042498,0,0,445,4474035,101.0,
5705773,10,55,0,6405115,0,0,500,4616395,100.9,
5705773,11,51,0,3049667,0,0,551,4333411,100.9,
5705773,12,33,0,7358776,0,0,584,4604738,100.9,
5705773,13,57,0,3466465,0,0,641,4420985,100.8,
5705773,14,54,0,6901920,0,0,695,4688591,100.9,
5705773,15,59,2,3282288,0,0,754,4473834,101.0,
5705773,16,58,0,1073188,0,0,812,3910324,100.7,
5705773,17,86,16,2074916,0,0,898,3580665,100.7,
5705773,18,65,2,619416,0,0,963,3117889,101.1,
5705773,19,56,0,3129552,0,0,1019,2989866,101.2,
5705773,20,71,3,2283700,0,0,1090,2799606,101.4,
5705773,21,70,1,4980410,0,0,1160,2889427,101.5,
5705773,22,34,11,7250278,0,0,1194,3479676,101.2,
5705773,23,50,2,9235692,0,0,1244,3991603,101.3,
5705773,24,32,6,9306745,0,0,1276,4267812,101.2,
5705773,25,80,6,4486161,0,0,1356,4196342,101.0,
4752849,1,53,2,4991061,0,0,53,4991056,100.0,
4752849,2,78,9,673990,1,0,131,1765509,100.0,
4752849,3,57,3,2030689,2,4,184,1492799,100.1,
4752849,4,89,3,454350,1,0,273,296967,100.4,
4752849,5,80,2,1406900,2,4,349,323748,100.5,
4752849,6,40,3,6610236,0,0,389,504282,100.5,
4752849,7,0,0,1,0,0,389,491184,100.4,
4752849,8,37,0,8645623,0,0,426,1225039,100.4,
4752849,9,71,8,5373893,0,0,497,1580736,100.0,
4752849,10,49,9,7964356,0,0,546,2261232,99.8,
4752849,11,39,9,7950081,0,0,585,2594907,99.7,
4752849,12,38,0,5765641,0,0,623,2750116,99.6,
4752849,13,51,15,5746202,0,0,674,2930749,99.5,
4752849,14,68,4,2882893,0,0,742,2723904,99.5,
4752849,15,54,13,5021493,0,0,796,2780639,99.4,
4752849,16,41,12,5913642,0,0,837,2922383,99.3,
4752849,17,65,1,7496828,0,0,902,3434909,99.4,
4752849,18,48,3,5592981,0,0,950,3563249,99.4,
4752849,19,60,4,2335115,2,0,1010,3284744,99.7,
4752849,20,39,4,9849506,0,0,1049,4038843,100.0,
4752849,21,72,3,4306314,0,0,1121,4001282,99.7,
4752849,22,27,3,8829975,0,0,1148,4559924,99.2,
4752849,23,58,3,7729761,0,0,1206,4795126,99.1,
4752849,24,43,2,6097889,0,0,1249,4806224,98.7,
4752849,25,77,2,5182001,0,0,1326,4783094,98.5,
6643749,1,64,5,2543363,0,0,64,2543361,100.0,
6643749,2,72,6,1332211,0,0,136,1146087,100.1,
6643749,3,55,11,2382232,0,0,191,797749,100.4,
6643749,4,69,4,3212922,2,0,260,809776,100.6,
6643749,5,75,2,2348527,1,0,335,789917,100.8,
6643749,6,33,7,9019824,1,0,368,1494096,101.0,
6643749,7,0,0,1,0,0,368,1469009,100.9,
6643749,8,44,0,6810308,0,0,412,2007321,100.9,
6643749,9,73,8,4853197,0,0,485,2198697,100.5,
6643749,10,52,4,7216207,0,0,537,2711005,100.5,
6643749,11,49,9,3788372,0,0,586,2540904,100.5,
6643749,12,48,0,2891914,2,0,634,2248028,100.4,
6643749,13,37,22,9373619,0,0,671,3066344,100.7,
6643749,14,44,4,9136028,0,0,715,3867174,100.8,
6643749,15,63,18,2122988,0,0,778,3513522,100.5,
6643749,16,39,14,6662422,0,0,817,3712772,100.5,
6643749,17,62,5,8107309,0,0,879,4250479,100.5,
6643749,18,44,5,7024326,0,0,923,4460398,100.6,
6643749,19,39,6,8434940,0,0,962,4790792,100.4,
6643749,20,35,2,10272851,0,0,997,5450973,100.4,
6643749,21,45,2,9655441,0,0,1042,5924926,100.1,
6643749,22,31,4,7873243,0,0,1073,6110232,99.2,
6643749,23,57,5,7940713,0,0,1130,6222016,99.1,
6643749,24,63,4,658986,0,0,1193,5848175,98.8,
6643749,25,109,2,378308,0,0,1302,5231746,98.9,
